d,delta_min,seed,lambda_min_analytic,lambda_min_fd,T_esc,zeta_eff,T_esc_pred
4,0.001,1,-0.014063176910509418,2.033937860801416e-06,499,0.00012431339614548477,55383.87263277092
4,0.001,2,-0.014063176910509418,2.033937860801416e-06,499,0.00036085605977875053,47806.115531181735
4,0.001,3,-0.014063176910509418,2.033937860801416e-06,499,0.0004950519314243816,45557.80763744937
4,0.001,4,-0.014063176910509418,2.033937860801416e-06,499,0.0008166669991498506,41998.37895256588
4,0.0031622776601683794,0,-0.04462131533764527,-1.71100667500923e-06,499,0.0005622875292409671,14072.925392703888
4,0.0031622776601683794,1,-0.04462131533764527,-1.71100667500923e-06,499,0.00012431339614548477,17455.18241517801
4,0.0031622776601683794,2,-0.04462131533764527,-1.71100667500923e-06,499,0.00036085605977875053,15066.921605335609
4,0.0031622776601683794,3,-0.04462131533764527,-1.71100667500923e-06,499,0.0004950519314243816,14358.328606236411
4,0.0031622776601683794,4,-0.04462131533764527,-1.71100667500923e-06,499,0.0008166669991498506,13236.513282840346
4,0.01,0,-0.14134820883572569,-1.8295913033483657e-05,499,0.0005622875292409671,4442.592140667303
4,0.01,1,-0.14134820883572569,-1.8295913033483657e-05,499,0.00012431339614548477,5510.315307419153
4,0.01,2,-0.14134820883572569,-1.8295913036023624e-05,499,0.00036085605977875053,4756.380471015461
4,0.01,3,-0.14134820883572569,-1.8295913063785536e-05,499,0.0004950519314243816,4532.689262479527
4,0.01,4,-0.14134820883572569,-1.8295913033483657e-05,499,0.0008166669991498506,4178.55053155274
4,0.03162277660168379,0,-0.4494273902956718,-6.61363540004345e-05,499,0.0005622875292409671,1397.2277952571487
4,0.03162277660168379,1,-0.4494273902956718,-0.0345554723443244,499,0.00012431339614548477,1733.0345582884233
4,0.03162277660168379,2,-0.4494273902956718,-6.61363540004345e-05,499,0.00036085605977875053,1495.916525419068
4,0.03162277660168379,3,-0.4494273902956718,-6.61363540004345e-05,499,0.0004950519314243816,1425.5640005361233
4,0.03162277660168379,4,-0.4494273902956718,-6.61363540004345e-05,499,0.0008166669991498506,1314.1847735982042
4,0.1,0,-1.4460797119113376,-8.673620635590851e-05,499,0.0005622875292409671,434.2446937734901
4,0.1,1,-1.4460797119113376,-0.5086238213787446,499,0.00012431339614548477,538.6101418948148
4,0.1,2,-1.4460797119113376,-8.673620635590851e-05,499,0.00036085605977875053,464.9161830993735
4,0.1,3,-1.4460797119113376,-0.2609598683690315,499,0.0004950519314243816,443.0513084327744
4,0.1,4,-1.4460797119113376,-8.673620635590851e-05,499,0.0008166669991498506,408.4357371862237
5,0.001,0,-0.01410282041159101,3.5998883873844534e-08,499,0.0002257763004865334,50996.84216007751
5,0.001,1,-0.01410282041159101,3.5998883873844534e-08,499,0.00016082968616578223,53402.02582657956
5,0.001,2,-0.01410282041159101,3.5998883873844534e-08,499,0.00021987182103137698,51184.74743409834
5,0.001,3,-0.01410282041159101,3.5998883873844534e-08,499,0.0013938126723559382,38089.82455958317
5,0.001,4,-0.01410282041159101,3.5998883873844534e-08,499,0.00047834067865825715,45673.23677224635
5,0.0031622776601683794,0,-0.016754298882939063,-1.3383121273413678e-06,499,0.0005622875292409671,37480.07875820102
5,0.0031622776601683794,1,-0.016754298882939063,-1.338312095811034e-06,499,0.00012431339614548477,46487.96134447061
5,0.0031622776601683794,2,-0.016754298882939063,-1.3383121526544913e-06,499,0.00036085605977875053,40127.36461350054
5,0.0031622776601683794,3,-0.016754298882939063,-1.3383121526544913e-06,499,0.0004950519314243816,38240.18617173059
5,0.0031622776601683794,4,-0.016754298882939063,-1.3383121521236274e-06,499,0.0008166669991498506,35252.48279807098
5,0.01,0,-0.053121045948230826,1.3552499470782017e-07,499,0.0005622875292409671,11821.161094662317
